player_id,rank,division,tier
llC0-mYMXPmLT6ScFCLfrlE0u-xU_r75xsHD2a5nkIw3T-KmCTo7IcwRODpemP1sgKMpELVxDX8DIQ,IRON II,II,IRON
Jkx_RYYouSYb1FoZQVLucxxqOlG4kWh8DilCZCugic25ixDivEFC_0cJWxsZN5OS5eqNMY1TGi8v6w,IRON II,II,IRON
ng9R1Zhmqp-SF6j-I_Z8x714YILGBYvRxFAsqCzaB9C2XjSRSty4EDA8FS1rXbiHJcaMM6OBlbCLKA,IRON II,II,IRON
CkPAVIRKWwr2VU21AOdtD84UBTOzAys7F8_gapHLSo6M_BiE5DorD66odjVEiWzMiHOmTbAemmDt4Q,IRON II,II,IRON
6oaiZvUGfjOlg-bJkk3snkGqVVqbLYHoeTr49JmulIg-Ofq7ahOYsRnCzgm2kofEb4fcnmKnlEjE1Q,IRON II,II,IRON
O22QjrSk4_-a6bi29RHNvUW9V5voKaAVq-f03-ZZo71j8TvhCE2boWsYlwoUzJcE_eISg-QqlSx4xQ,IRON II,II,IRON
CtwM4ETo2XTEnNZuC7EUfd3f-1cwZLMVouu3prF2DvU8O1Fln0Yf0IhSnzmUHtPJozPgbn-yXciuMg,IRON II,II,IRON
hY93WxpdpZULZe9RMFt-3G0bJ_gh4jFivOSgR9HDQzkgbMe48B3upXBXhVkFWvOTSOwC_WRtTYSmrw,IRON II,II,IRON
vUkqUT2hgGbBlpDGZ5pxCUqPWu-oRcf8LG4zIH_KV_7d2UFvVtkGKN5DyL1RH_tXY3_N0MXz6_CEXg,IRON II,II,IRON
3Nirkd0X1glaF3pzzJRSI4XcAblBK7v-USYqCUbzW8N5EZwDuhBkv2myXbs5YEiX3bk9FUT8LbdlmA,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
CCOnyxlwOWbDCGHsj4Wbc_zBHd1pK48LfpBsd16lHJVzkfckZDXBTUFGfhlB_4DIe_SH0vdLJnK-6w,IRON II,II,IRON
2YAx9BEoZBLXRzQCMJqtI4g6pimrQoSyQBWYrK4KsqEtdsAMY5qFpLiasioHGT7rZRIqXOfGamK-4g,IRON II,II,IRON
IXyy_vZdSJxYT1POktbc37Snv-ENvL6berVSvs0agWZzbyiPJNcl-PeudWdDlFN0JCCjtjliHn368g,IRON II,II,IRON
4COmaggH11trI3V0gQDdtylmVoyVSORQA94S9Rgc_cSjl-dkysfb-6Oqu7GA9U5G0pOz7pFHbavHSw,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
6el0Lp4tUo5DsZ1sZlpn3R8B19jYFEp8O6cVPoANjat5wOQMcvCNo54cMi9UWSREEBHVKJgFRzV9Bg,IRON II,II,IRON
Wi7zmNTK2aBnwYKEWpw09m67XMZIAl4nWOiP8kY3N8J14EDPQxsl14e_lXoWfzDDRdfuqEJkdyLzpA,IRON II,II,IRON
VmsSEMnotxgzvNhPZDTzi4sDWwfE4xKC1HznSb8YdjD5E-d57jh1m-l7f9IQp-uDAc0U_NQQhppi8A,IRON II,II,IRON
sLj8rWqObtdA-vERiLXc8HqEc9jIn-NWMnFhyKsrPLu8mIprA9NZ8Jzu7uS1eo5tR4SDZQAz0gmLbA,IRON II,II,IRON
zb2lZ0ZViM4eXWvZJLqYRHVav2QX3n9_XGeEpy7bqBDoV-YrCdvR5b8zEcIFiFgjZ7suNa_bZITcuQ,IRON II,II,IRON
b3nITPT-J09qLxRllGlwrau7x7Jy7G9dPWP12jTrkBHGcUjFaij3qzUoFwJkYgRVup2BGyKPdKCvBA,IRON II,II,IRON
XcCDJ_0SRERTcjUYvt2kZ59Pnx0F0XUothDm3FvJZ1qRjTAojgMRFJ4Lhuu2YTLFZsqGm2GQ7cwf7g,IRON II,II,IRON
PwhecKQmZ1MQsvDwVhGWO0oapwfMojLgUfcmREHYm07u2dl82JacN5moeAkP7TPSKgg4SEXgwJAQ2Q,IRON II,II,IRON
mpm31FJLIxvOWPLekjsjaCjJTsCnpbyhz2m57SFmHcCNkSMPkkaQY0a9yPDWDyC1QJAJa5Gp8l2g2A,IRON II,II,IRON
aqaxjFN3WVKphB9VusTQ2NaJdOHljabJW-doyXim1qDPOqhIvcz-h1ALjS5eJ6DUt0iSLdcrcSOZsw,IRON II,II,IRON
Eylye8yUGigDMx_60jz3VKLsOMf757iMzx_J4g3c8RZN0PBRu4yOnMJUSG7Mf4RzVEiudQSW-KXtUQ,IRON II,II,IRON
AixkrbuJ6Je9JigIfDrEPSCUm5pyc5Z67aTez3V-lk7KizRVG6cmpHqLmul16oyp0wUfxeVp6HOp5w,IRON II,II,IRON
IXyy_vZdSJxYT1POktbc37Snv-ENvL6berVSvs0agWZzbyiPJNcl-PeudWdDlFN0JCCjtjliHn368g,IRON II,II,IRON
dCQtRO_9O3fRZJmDThUnTEe3O7cwy264_jOBH5hqN97X2ObsrjPAdhedXZdVfqKXpHsH1b9n2UyAqg,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
iCOsETAnbsxtnbGeim9nosNUHfayZH6bnWC_0Dh6T46bdBDWeD11SVe_G8QefObV4NdsXvhkrk9Sjw,IRON II,II,IRON
CWRS1huB1dOhirBWOac29NSDmCerfn8wSWNqYcHg3vdcdWf4NXIl_34WoWtLqiOE1vAkOhTdMl3JVg,IRON II,II,IRON
IXyy_vZdSJxYT1POktbc37Snv-ENvL6berVSvs0agWZzbyiPJNcl-PeudWdDlFN0JCCjtjliHn368g,IRON II,II,IRON
8fNLnD_XMMuGcCo3GaRSoA1Ixeg8Hl0Qp12ZYxWAGHsAAO0ZSU7xbv3AQM69ujABWKvpZI_6s9RlMg,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
zK19z__VVvVgpLX2ncaGv8nZ-BYaQQ454tyg_C7IN11zCgwfhXJd-c6hFWK6cPEtJ4bFWc3vFtSlzg,IRON II,II,IRON
tQSuEbLs-WdIbeuTdiXuGQyLLm8nlQ0q-FPYqa7vWiwuKQwJ_Z4IQwlxGelEOKeEur005ols2STORw,IRON II,II,IRON
w4I78dp3F8Yo1KEmQ4wmIoReJXRp9Ajwc1uzUkyQASOQUEMSz_D9dt0wiJZJWj2HkpnLrRwd3dZMcA,IRON II,II,IRON
Ps79ekBvIunvSI7vBN-54EPf0ypECAEWw5kvdFgqYsaYI8J-vqahKlgO-BQvrM3KkXA2RdGpq_sQKg,IRON II,II,IRON
WvNDlmq13brn-llD5gPncfa45RqVgS4oHT1nN0matUtv4Jz68z9m5t1WSI4jcDbuxpRugeaOehaRVg,IRON II,II,IRON
P1NQR1xrQZeElkBmjnYKJkPP6LyV67E7JfSpbdk08TX_Q_aGLighBMLzh5apLe7d0a6KMphMA_RU7Q,IRON II,II,IRON
I_8uFYgpQY0_QOK4Lu_Gz_ZJL2TRk4ScTRsSoOE9XkWR5riw15QbkD0x5DVfx8WSiYSbxo_3hmWiXA,IRON II,II,IRON
