player_id,rank,division,tier
Wq6pYVDKt7QmUbyVLeEtOhhF7g8YcjIh05r8wdBSiwKXkj5nwPp5Obw7uzFbZDm8ZqoWrcckOWd8TQ,IRON I,I,IRON
yc13_ImybjWahDtfY6v5Ty-F0pnrvzOerNcbvvkg7sBq2ARih2q2KrvdSKXKWmVO30TnkINpQRfvRA,IRON I,I,IRON
PeBOcOWtIr0IszFAjvqR84qd6twsZhnjdMvsI26YyUMKUfMxU2dlDtV69CqUWovUa6jdIkPmN78Qsw,IRON I,I,IRON
ioD7idmtqHuyXoT7rF5RQM3jfgEXHCELmyP-hC86IoOVuP6XANrC7ZKW5EB7fYlpuueQWkE-DoLOxw,IRON I,I,IRON
CwXW-NftYRCmAY3oHDDB0NMiIlef2zhzOrWhJl8c1u9H8zAc8_Z6K0WpoW9A3NiDZx68JPNTm5lrww,IRON I,I,IRON
wymicFMgT9TnFdCfZISAaQaBS67cypBRBOjNSOV6nxRZ_8waF4sITzkQZESfDYNf1zJ4s_u-MXbV4g,IRON I,I,IRON
xa_ElnYZas-caIH6Ewr6Zzfp1QGFcemdJkTzFlWXewtXK5cVx6I-VV8x99FBqijp28znw-qExRQ55g,IRON I,I,IRON
5_grPChnBR8yQCE3TRN9FCp6fTYvHhEp2_Q2BRA4qci0PV5374G35ZBI0K3Out26dVGC6P2UlOU44g,IRON I,I,IRON
ioD7idmtqHuyXoT7rF5RQM3jfgEXHCELmyP-hC86IoOVuP6XANrC7ZKW5EB7fYlpuueQWkE-DoLOxw,IRON I,I,IRON
_o1dULwxDNMPeRPXohlgrVaDsvJBN3hx6sM9r0FxTXMEc1tpt7Pa_ughwoqWE7W2OfMIwcnSybn3Ww,IRON I,I,IRON
izJjkfaSyTEX3bnj-dje9z1pLkg4aiJ7q1XoCZXzgE4DwtLU7M3RSo6O77UDFh9BRGfrkzSIDjWIHw,IRON I,I,IRON
nI4aqIJuee0ZU5iD1AQ5FByYwOk58J9WJYUXD4NEahZCbGCODjMLsVKQU-s_xIQlcDVbEVsPxgg23g,IRON I,I,IRON
L6YlSoHpMRayIbCRqUiMr4DQf0Asrh5I2IjTucLiAsHTtEXtcCms8pHVC16R7NYHE72ONipNgfHwKA,IRON I,I,IRON
QqgB4ElE7Ko6vhpJKYgAS82RvwOL5Wh4DFSbCA8rvJgvJwW57AxxHCqFgEoOTcc-Icu4oWHA-CH2Zg,IRON I,I,IRON
r9xHEutsOZH4Feg3SgpqNMJ4fQjghc-nOo4OSmBZFByS0cRJ4XU7c0sWAgSYtpr8PLbbzuveK-4DSA,IRON I,I,IRON
mY5wA7AyNtloyKBGQxA62MsDw22-eAaUqHObGz-QGU6SUMXy3Xk9OYIlIkpAd9My2oBtdWNluBXI6w,IRON I,I,IRON
8UnKThC7I8Kmhwo6AO5CKKoq6MYNhq6K7CZMTrm2HnprRjkwwt3K7Avxi9QFLFy1Am5CVomVvAGAZQ,IRON I,I,IRON
KK6D3xTcPo19S19dQ1nFkwd9g_-0Xpjy_FnRysewePtFgQJiqKBdYSWvJVdwWd-1ehaxiy7_ur3bMg,IRON I,I,IRON
jNdFreOOjRfXOFfi0dXnueWa9r6NjdgbDRXzDSRdeRpm_MSu5LTlZC15QUSNGXfQheXe8TScdHa8CQ,IRON I,I,IRON
UaZJmDHoRhPnn5IKckNnN_zchY3Xk6vp_gZhZ6O0Df_5tcLJPHh3yFH8S3cGjkl-55NG8jf9nWqgXA,IRON I,I,IRON
LKA-skHZthYwr8bQlYTpG27cKkEAQKNfV8-w0mcWudbqd_55G5M7bKhkIvs3s21qv7GX8c751jK1QA,IRON I,I,IRON
ee_bFBzcTotPjlijy3UeMAYIH0k3v-QbrdDCXZ-jU5Hm_DOwfQWicbsmao7lD4IYcwWdT0_7QPcdmQ,IRON I,I,IRON
_jtFTmSjTuHA3CvkgbCYn-ZCkpNEgYkzXEkKtg_mzzxmHyiUf51PVhvmlKaV06s3zQVqy37U8QuduQ,IRON I,I,IRON
ioD7idmtqHuyXoT7rF5RQM3jfgEXHCELmyP-hC86IoOVuP6XANrC7ZKW5EB7fYlpuueQWkE-DoLOxw,IRON I,I,IRON
ioD7idmtqHuyXoT7rF5RQM3jfgEXHCELmyP-hC86IoOVuP6XANrC7ZKW5EB7fYlpuueQWkE-DoLOxw,IRON I,I,IRON
CJEfwreXAwPnbK4NytY966Fs5QLElscmh7lxOZA3QbowBY3IJTOcZsu60BwpO9Hj-QKCPTaoveHNNg,IRON I,I,IRON
15Lstgo3bJ-wXxrPSTKAXisnEmM8r_y5dPcUUmAk0_PSWomxqkz7HrLM-iSVrT4CY8YGa7PMMO-xoA,IRON I,I,IRON
qNvRRbGaoxNptSPc9fhQOTN1doP5ElMBSIfoZAoMErLOQfeA2dJdPVXjJKCssAsjdmZla7FtE8SsTw,IRON I,I,IRON
iM_4jmaKV7tvLg9WD7gjWOrlHGjDzxJi5gWvuxTZPDwDT5DRptu6ihsAZdRzZMP9H-GjDOsqfQuZmg,IRON I,I,IRON
6n9lWU8NfsQ0M_jcFHV8-EIOCqH_LTuOT9sAXgej_QrhDWtJlsvx7NSfQmPqCRkpheCHWV7w3etnbA,IRON I,I,IRON
