player_id,rank,division,tier
D_FHA01Jg5NKIPCrbyrGVVBua8db81lz-aCjt4TcqV6KMpoDWh2swl19hGV2J3hok7kj8t9S6vWEJA,IRON III,III,IRON
5faK49-bKqOxjWpNnEzDF7Vx0Apk0pLusdY4NvubiqErdiTJPilp6fX9tDF2AbV5ImuBrsTnjkmf7A,IRON III,III,IRON
sDd9ATAY-gY4KcK7IJXbVBWIddaNwkjaqMj4_QvnpvV-Xbb7oPRQxkjbIjB7_lhPsdMRIRQVjHojDQ,IRON III,III,IRON
MAdMOdhZMQqSSRh2qHrg_6HItMA9ifHAwcW_l1qAQ3lIBSMFfQ7B_V2CeTPY8NqtOUmALJiVyGmixg,IRON III,III,IRON
CA_9C5Csyb5PvdCOjmzxdk5fPwrzpEGIPCxc8ejIb2_jhedN9CoQ7ZFfEAr_M--ZVHTuvbrojH4Emg,IRON III,III,IRON
2yOmJtcs9AVS60y6mwYZG-CcYM6Zuh-YjlHYXy6in8MEJZo2rhBiOUjSI_K611mIIc6_6qs6wAJFGw,IRON III,III,IRON
RW2z3Ugd7NqDPm6AoRKvCDDMy8i89Ltc8e8A3QjwPgR4pMeee0cI4NZofelcFBbZdJd7VMhuMsOtcw,IRON III,III,IRON
zmgI98ua_06hQsDe5N8pLtcThRg01BOoVf07Xf-KGbYNx9lVthfwilGBN3YjBqUF4LEVbX_pNQAdDg,IRON III,III,IRON
J-ObVCm-i9UILwFJ_BCKgllL2_q3xQd7BAUKlH3M6cw0fzKmdw2CJIBLPUvcs7tbDJPtJ6zGWfJbsA,IRON III,III,IRON
dOxrxpkgZSdBdTEtYtSeDvhysxVey_vyEmZFkzBQ_odlOJRiM0Lb6vnPHnmgC4AW0z0QK3KXKETr2A,IRON III,III,IRON
V6vFj5Pouga_mTmdiwMYNAr1jt1Brqz6p4jMz2qSn9qTKwzSz5BASUOIMlTbge2uaNA8ojt_4TXLoQ,IRON III,III,IRON
DK-oU9m9CA6A4C26CQIVRsj9vHAp1WwtyLpsh9uw3hr0VxkdIW0Sv2DW2wDBZhai9ZMGY6199tl8rw,IRON III,III,IRON
alO6wYHUJzkushnxJbLBXrfNqu4Lb9sK56MbOc_ULtqATYYzLVT6aUR5_jh9g2IGj0LaMNnS0WW7ag,IRON III,III,IRON
xX85sqUXKcynUDFTFmgnWIlaMOfjJdHiMzPjNO5tOFqIcSboOryj3ZAR7X7CLbW99bPrULKzeKv9uA,IRON III,III,IRON
ECeo8pxbNBxECvk_NOfjqW6AJpSMcxYvoZlsZolxJxj6QPkmSJ7mBkEnA6yUxh5zz1lSpHQbQUPuXw,IRON III,III,IRON
OPIxVQUqEOvQNR8uyKHrt8nagKYl0hSMqq4GSSfLOpt2KCCPNu8re6GgQvEGndi__2574ntVUtsF-A,IRON III,III,IRON
CA_9C5Csyb5PvdCOjmzxdk5fPwrzpEGIPCxc8ejIb2_jhedN9CoQ7ZFfEAr_M--ZVHTuvbrojH4Emg,IRON III,III,IRON
iP0HC33JkgfhH9J8fJYexyqDhSdvjothLY4eLo5Nsp4ldHaBIeou24r01HOul2rjMuyav1SyWV3OsQ,IRON III,III,IRON
S3XQ9zWtkwMhax7edCoR2wd0k57pykxNefsWFcdPJmb3h8CiPvrKbej2j8cis2o7G9cFmqaj0ZgXjw,IRON III,III,IRON
kSRHMy3NqXPkib0zoFPamTuzOvn5Oxr4uNWi3m0hyvpzDQCKjblP6sguZGIwGVWQkuQlWdfWv1ybbA,IRON III,III,IRON
aF0cHIU8-n4OY8kWABiODgMXiwuqD6ODkY1ibWv6onNvrF2nM-PKppk4wH6Q4EHzVk27E7ib_vDWgw,IRON III,III,IRON
hlGI03lY1nfzk5jp9Pp5PPzqs7YJBpHWhw2srJBljCsy5qYvZOKiOITW6nwPNSS9jEiExr_r_BDzlg,IRON III,III,IRON
NBr2rBnTZXCOtY0rtGPaJL22AV9qBC4KmiHecrF2JN0IJRLKf0zAIXgRyi1wZupisM4WVTh--xgJNA,IRON III,III,IRON
Jbl-hqtKFlsEYhYKgYFjIQICdVB9mPjJVRypY7MXPgZun_v5lyPpbp6dm7Plir_Coma8rGBFaWW9AQ,IRON III,III,IRON
jogQX6zVAZbXsl8XM9CZgF3mn0GB3QWTxpLCNa5-qmPh41SfRBwLdx3sUbeAzop0471k1TKd-VrtUw,IRON III,III,IRON
P5whxLFRr5jBiWL12z9jn4FBMcftMZEih1dsJqxH4Dv2XxOxCz_jk47br9MMMhund38DDWXFeWTV-w,IRON III,III,IRON
ypsHrTEcipMw-PJUex0REZLKigR_AdlaVa4PJ_xtA-WI_CYtm01wEEUb-JBhwMJTgoWa4t3kqSTuEg,IRON III,III,IRON
AKuSF5jowHogeHzUG4B0nG-IQMaR_zHt2_k_DriP1NEpYPNLPbd4P5wToTdZIftWMPCESVd_MSx--w,IRON III,III,IRON
n466ylyOJ1IMH8xhRxgzwat3jbNhd9A3plLJ48FD8b8D_b8aGh1QcHIey1I7lfDYiqPpDJQ-C5W99A,IRON III,III,IRON
bfkXw0oUn97g00FWQEmrld1quMEKSGJqfEC47VX6DatupBsFQ9HmDB90--sFNe5O4BZ1Ub5uRfro3Q,IRON III,III,IRON
